单词,频率,是否在词库
qualities,1,NO
starved,1,NO
saturday,1,NO
inspired,1,NO
staffed,1,NO
grandparents,1,NO
baddeley,1,NO
succeeding,1,NO
olympiad,1,NO
documents,1,NO
pledged,1,NO
couches,1,NO
retrospections,1,NO
inspire,1,YES
competitor,1,YES
welcomes,1,NO
anybody,1,NO
clapped,1,NO
shining,1,NO
bidders,1,NO
athletes,1,NO
intimidating,1,NO
netball,1,NO
provision,1,YES
successive,1,YES
presided,1,NO
squeezing,1,NO
strengthened,1,NO
festival,1,NO
participation,1,NO
talents,1,NO
focuses,1,NO
elitism,1,NO
supervise,1,YES
uncertam,1,NO
maximal,1,NO
disengage,1,NO
studied,1,NO
tablets,1,NO
mealtimes,1,NO
separate,1,YES
excited,1,YES
unresponsive,1,NO
absorbed,1,NO
disconcerting,1,NO
devised,1,NO
expression,1,YES
distressed,1,NO
capture,1,YES
exquisitely,1,NO
responsive,1,NO
worries,1,NO
fantasised,1,NO
neglecting,1,NO
distracts,1,NO
insensitive,1,NO
attentive,1,NO
condemn,1,YES
perpetuated,1,NO
graduate,1,YES
lucrative,1,NO
misconceptions,1,NO
enhances,1,NO
pulling,1,NO
adjusting,1,NO
blunders,1,NO
statistics,1,YES
mandatory,1,NO
applications,1,NO
credits,1,NO
nursing,1,NO
misleading,1,NO
pressures,1,NO
adaptation,1,NO
motlvat10n,1,NO
adilemma,1,NO
frequency,1,NO
specialist,1,YES
watershed,1,NO
nationwide,1,NO
redirect,1,NO
warming,1,NO
equation,1,NO
unleashed,1,NO
colorado,1,NO
disconnected,1,NO
unprecedented,1,NO
damaged,1,NO
redirection,1,NO
guarantee,1,YES
admitting,1,NO
mentions,1,NO
maximize,1,NO
interrelat10ns,1,NO
refrain,1,YES
defending,1,NO
grappling,1,NO
outsourcing,1,NO
boomers,1,NO
wolverine,1,NO
plucked,1,NO
juniors,1,NO
transformers,1,NO
welding,1,NO
cofounded,1,NO
enrolled,1,NO
worktable,1,NO
transformer,1,NO
flustered,1,NO
arrival,1,NO
visitors,1,NO
telling,1,NO
michigan,1,NO
misplaced,1,NO
appearing,1,NO
montcalm,1,NO
mcdonalds,1,NO
overtime,1,YES
manufacture,1,YES
publishing,1,NO
secondary,1,YES
realized,1,NO
applying,1,NO
journalism,1,NO
favourite,1,NO
williams,1,NO
invitation,1,YES
reveals,1,NO
willingness,1,NO
participant,1,YES
claimed,1,NO
incurred,1,NO
fingernails,1,NO
reproduced,1,NO
chalkboard,1,NO
disgusting,1,NO
instinct,1,YES
imagining,1,NO
endeavor,1,YES
resolve,1,YES
discuss,1,YES
interrupt,1,YES
disappear,1,YES
forgive,1,YES
withdrawal,1,YES
persistence,1,NO
inquiry,1,YES
diligence,1,NO
evident,1,YES
pretend,1,YES
limitations,1,NO
curious,1,YES
stephen,1,NO
teacher,1,YES
hampshire,1,NO
memorization,1,NO
utterly,1,NO
forcing,1,NO
graffitied,1,NO
discarded,1,NO
assembling,1,NO
bicycle,1,NO
insidious,1,NO
inferiority,1,NO
stereotype,1,NO
viewpoint,1,YES
evolution,1,YES
evaporated,1,NO
rightfully,1,NO
devaluing,1,NO
vanishing,1,NO
staring,1,NO
manchester,1,NO
overlooking,1,NO
mechamcal,1,NO
memonzat10n,1,NO
stereotyped,1,NO
mot1vat10n,1,NO
disadvantaged,1,NO
privileges,1,NO
overvaluing,1,NO
generate,1,YES
belongs,1,NO
farsighted,1,NO
cleaner,1,NO
dropped,1,NO
scotland,1,NO
remarkable,1,YES
accounted,1,NO
administration,1,YES
underlined,1,NO
skeptics,1,NO
batteries,1,NO
vehicle,1,YES
powered,1,NO
spiking,1,NO
speeding,1,NO
slowing,1,NO
washington,1,NO
alternative,1,YES
stabilizing,1,NO
extensive,1,YES
investing,1,NO
boosted,1,NO
continuous,1,YES
sustainable,1,NO
exploitation,1,NO
competitive,1,YES
ambition,1,YES
astonishing,1,NO
upmarket,1,NO
messaging,1,NO
intricate,1,YES
enormously,1,NO
revealing,1,NO
journalist,1,NO
theresa,1,NO
currently,1,NO
plotting,1,NO
purchased,1,NO
imbalances,1,NO
remedied,1,NO
vanished,1,NO
marketplace,1,NO
dominate,1,YES
entertainment,1,NO
convert,1,YES
honeydew,1,NO
predatory,1,NO
spammers,1,NO
inboxes,1,NO
linking,1,NO
disputes,1,NO
imbalance,1,NO
analogy,1,NO
premium,1,YES
distracted,1,NO
distraction,1,NO
retreats,1,NO
journalistic,1,NO
seizing,1,NO
interruptions,1,NO
scheduled,1,NO
calendar,1,YES
appointment,1,YES
rethink,1,NO
prioritise,1,NO
disorder,1,YES
structured,1,NO
execution,1,NO
demotivated,1,NO
improvisation,1,NO
vacation,1,NO
indulgence,1,YES
vitamin,1,NO
paradoxically,1,NO
psychiatry,1,NO
productivity,1,YES
realise,1,YES
unfocus,1,NO
circuits,1,NO
schedules,1,NO
fruitful,1,YES
contributor,1,YES
accomplishing,1,NO
eliminating,1,NO
honestly,1,NO
surprised,1,NO
outwards,1,NO
pouring,1,NO
canmultitask,1,NO
communicate,1,YES
wholeheartedly,1,NO
forgotten,1,NO
awkward,1,YES
investor,1,NO
amazing,1,NO
assignment,1,YES
occupations,1,NO
astronaut,1,NO
selects,1,NO
encyclopedias,1,NO
passionately,1,NO
revealed,1,NO
chooses,1,NO
avenues,1,NO
apologize,1,YES
fluctuations,1,NO
focusing,1,NO
accurate,1,YES
altering,1,NO
observe,1,NO
caloric,1,NO
wonders,1,NO
besides,1,YES
recording,1,NO
lowering,1,NO
accepting,1,NO
depiction,1,NO
distribution,1,YES
orderly,1,YES
precise,1,YES
judgments,1,NO
approve,1,YES
request,1,YES
disappointing,1,NO
restricting,1,NO
consuming,1,NO
obsessing,1,NO
dominating,1,NO
puzzling,1,NO
triumphing,1,NO
emerges,1,NO
appease,1,NO
consciences,1,NO
uncomfortable,1,NO
wearing,1,NO
weighted,1,NO
outdated,1,NO
amrisha,1,NO
advantageous,1,NO
jealousy,1,NO
goodness,1,NO
relationships,1,NO
cooperative,1,YES
pathways,1,NO
shortfall,1,NO
nastier,1,NO
caregiver,1,NO
assessments,1,NO
observations,1,NO
chocolate,1,NO
anonymous,1,NO
magically,1,NO
deprivation,1,NO
prosocial,1,NO
intensify,1,NO
burdensome,1,NO
addictive,1,NO
inexcusable,1,NO
awareness,1,NO
constructive,1,NO
emotion,1,NO
opposing,1,NO
deficiencies,1,NO
teachings,1,NO
restnct10ns,1,NO
hastening,1,NO
thankfully,1,NO
striking,1,YES
flourish,1,YES
remaining,1,NO
moisture,1,YES
rendered,1,NO
burnable,1,NO
financed,1,NO
proceeds,1,NO
biofuel,1,NO
transportation,1,YES
biofuels,1,NO
watersheds,1,NO
recreation,1,NO
storing,1,NO
finalized,1,NO
governor,1,NO
preserve,1,YES
absorbing,1,NO
endeavors,1,NO
cultivate,1,YES
resistant,1,YES
density,1,YES
overhaul,1,NO
obstructed,1,NO
undocumented,1,NO
predominantly,1,NO
migrating,1,NO
debated,1,NO
implausible,1,NO
mechanization,1,NO
soybeans,1,NO
mechanized,1,NO
intensive,1,YES
strawberries,1,NO
milking,1,NO
requests,1,NO
sharply,1,NO
doubled,1,NO
numerical,1,YES
nonagricultural,1,NO
cumbersome,1,NO
bureaucratic,1,NO
compounded,1,NO
underground,1,YES
imported,1,NO
mobility,1,NO
granting,1,NO
duration,1,YES
tightened,1,NO
adm1ss10ns,1,NO
manpower,1,NO
schwarzenegger,1,NO
grenier,1,NO
starring,1,NO
staples,1,NO
cutlery,1,NO
overarching,1,NO
quitting,1,NO
detrimental,1,NO
satisfying,1,NO
centered,1,NO
ignoring,1,NO
sustainably,1,NO
systemic,1,NO
wellesley,1,NO
collectively,1,NO
structural,1,NO
implementing,1,NO
environmentally,1,NO
problematic,1,NO
altogether,1,YES
incentive,1,YES
recycling,1,NO
disposal,1,YES
progressive,1,YES
engaged,1,NO
disclose,1,YES
accomplishment,1,YES
pointing,1,NO
welfare,1,YES
exercising,1,NO
arrangement,1,NO
concludes,1,NO
aggressive,1,YES
inconsistent,1,NO
rational,1,YES
esponding,1,NO
camille,1,NO
youngsters,1,NO
heavily,1,YES
proclivity,1,NO
ownership,1,YES
clinical,1,NO
removes,1,NO
jaroszewski,1,NO
gagliardo,1,NO
associates,1,NO
regards,1,NO
proximity,1,NO
attorney,1,YES
clarita,1,NO
emphasis,1,NO
fantastic,1,YES
riverside,1,NO
seriously,1,YES
desires,1,NO
analyst,1,NO
fitsmallbusiness,1,NO
tomorrow,1,YES
contingent,1,NO
customize,1,NO
remarks,1,NO
advises,1,NO
assumes,1,NO
readable,1,NO
polished,1,NO
practicing,1,NO
disappointments,1,NO
rejections,1,NO
undoubtedly,1,YES
sibling,1,NO
fatigue,1,YES
inadvertently,1,NO
emot10nal,1,NO
incredibly,1,NO
stressful,1,NO
tedious,1,YES
instructive,1,NO
accident,1,YES
fortunately,1,NO
illogical,1,NO
suspicious,1,YES
reflect,1,YES
cheated,1,NO
defeated,1,NO
confronted,1,NO
terrible,1,YES
withdraw,1,YES
directios,1,NO
attuned,1,NO
cooperate,1,YES
minimalist,1,NO
resembling,1,NO
chunkier,1,NO
colorful,1,NO
markings,1,NO
forwards,1,NO
backwards,1,NO
perceived,1,NO
communal,1,NO
exploring,1,NO
remembering,1,NO
reciprocal,1,NO
reciprocity,1,NO
readiness,1,NO
befriend,1,NO
resembled,1,NO
queensland,1,NO
similarly,1,NO
fascinated,1,NO
distinguish,1,YES
hostile,1,YES
fellows,1,NO
differentiate,1,YES
adaptable,1,NO
surroundings,1,YES
socializing,1,NO
varying,1,NO
estimates,1,NO
corporation,1,YES
dynamic,1,YES
elements,1,NO
relative,1,YES
boggling,1,NO
ripping,1,NO
rigorous,1,YES
principally,1,NO
salaries,1,NO
insider,1,NO
depredation,1,NO
teamwork,1,YES
continual,1,YES
repeated,1,NO
confirm,1,YES
overpaid,1,NO
suspended,1,NO
martinez,1,NO
almeida,1,NO
overruled,1,NO
levying,1,NO
ordering,1,NO
reinstated,1,NO
weaknesses,1,NO
contentious,1,NO
inevitably,1,NO
cheating,1,NO
reversal,1,NO
happening,1,NO
mayoral,1,NO
circular,1,YES
intense,1,YES
useless,1,YES
safeguard,1,YES
attacks,1,NO
strokes,1,NO
premature,1,NO
dementia,1,NO
untimely,1,NO
enforce,1,YES
compliance,1,NO
minimise,1,NO
opposed,1,NO
extension,1,YES
electoral,1,NO
upgrade,1,YES
supervision,1,NO
commonly,1,NO
cubicles,1,NO
adjective,1,NO
catchwords,1,NO
counselors,1,NO
pragmatists,1,NO
impressionable,1,NO
savings,1,NO
booming,1,NO
underlying,1,YES
trillion,1,NO
reserve,1,YES
accenture,1,NO
seniors,1,NO
georgia,1,NO
employer,1,YES
inspiring,1,NO
serving,1,NO
outhsight,1,NO
manager,1,YES
troubles,1,NO
recognized,1,NO
abilities,1,NO
counselor,1,NO
adventurous,1,NO
diligent,1,YES
compliments,1,NO
yourselves,1,YES
perfectly,1,NO
observers,1,NO
upfront,1,NO
trustworthiness,1,NO
studiously,1,NO
receptive,1,NO
rushing,1,NO
prioritizing,1,NO
cubicle,1,NO
confidant,1,NO
horizons,1,NO
network,1,NO
exceptional,1,YES
engender,1,NO
possibly,1,YES
somebody,1,YES
coworker,1,NO
verbalize,1,NO
digging,1,NO
desired,1,NO
impossible,1,YES
incredible,1,YES
